case_id,source_case,login_type,area_code,phone,email,pwd,expect_success,description,expect_text
TC_LOGIN_001,Py_Hopetrip_1,password,852,96526666,,123456,TRUE,香港手机号+正确密码登录成功,登入成功
TC_LOGIN_002,Py_Hopetrip_2,password,852,96526666,,654321,FALSE,香港手机号+错误密码登录失败,登入失敗，手機號/密碼錯誤
TC_LOGIN_003,Py_Hopetrip_3,password,852,96526666,,,FALSE,香港手机号+空密码登录失败,請輸入密碼
TC_LOGIN_004,Py_Hopetrip_4,password,852,965210fsfsfs,,123456,FALSE,错误格式的香港手机号登录失败,請輸入正確的地區號和手機號
TC_LOGIN_005,Py_Hopetrip_5,password,852,,,123456,FALSE,空香港地区的手机号加密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_006,Py_Hopetrip_6,password,852,9652666666666666,,123456,FALSE,超长格式香港手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_007,Py_Hopetrip_7,password,852,961,,123456,FALSE,超短格式香港手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_008,Py_Hopetrip_8,password,852,18502160291,,123456,FALSE,错误区号手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_009,Py_Hopetrip_9,password,86,18502160291,,123456,TRUE,大陆手机号+正确密码登录成功,登入成功
TC_LOGIN_010,Py_Hopetrip_10,password,86,18502160291,,654321,FALSE,大陆手机号+错误密码登录失败,登入失敗，手機號/密碼錯誤
TC_LOGIN_011,Py_Hopetrip_11,password,86,18502160291,,,FALSE,大陆手机号+空密码登录失败,請輸入密碼
TC_LOGIN_012,Py_Hopetrip_12,password,86,18502sdfgdsf,,123456,FALSE,错误格式的大陆手机加密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_013,Py_Hopetrip_13,password,86,,,123456,FALSE,空大陆地区的手机号加密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_014,Py_Hopetrip_14,password,86,185021602223222,,123456,FALSE,超长格式大陆手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_015,Py_Hopetrip_15,password,86,185,,123456,FALSE,超短格式大陆手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_016,Py_Hopetrip_16,password,86,0900188188,,123456,FALSE,错误区号手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_017,Py_Hopetrip_17,password,853,65202623,,123456,TRUE,澳门手机号+正确密码登录成功,登入成功
TC_LOGIN_018,Py_Hopetrip_18,password,853,65202623,,654321,FALSE,澳门手机号+错误密码登录失败,登入失敗，手機號/密碼錯誤
TC_LOGIN_019,Py_Hopetrip_19,password,853,65202623,,,FALSE,澳门手机号+空密码登录失败,請輸入密碼
TC_LOGIN_020,Py_Hopetrip_20,password,853,652sdfgdsf,,123456,FALSE,错误格式的澳门手机加密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_021,Py_Hopetrip_21,password,853,,,123456,FALSE,空澳门地区的手机号加密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_022,Py_Hopetrip_22,password,853,65202623666666,,123456,FALSE,超长格式澳门手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_023,Py_Hopetrip_23,password,853,652,,123456,FALSE,超短格式澳门手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_024,Py_Hopetrip_24,password,853,96526666,,123456,FALSE,错误区号手机号+正确密码登录失败,請輸入正確的地區號和手機號
TC_LOGIN_025,Py_Hopetrip_25,password,,,Test@gmail.com,123456,TRUE,电邮+正确密码登录成功,登入成功
TC_LOGIN_026,Py_Hopetrip_26,password,,,Test@gmail.com,654321,FALSE,电邮+错误密码登录失败,登入失敗，郵箱/密碼錯誤
TC_LOGIN_027,Py_Hopetrip_27,password,,,Test@gmail.com,,FALSE,电邮+空密码登录失败,請輸入密碼
TC_LOGIN_028,Py_Hopetrip_28,password,,,Test@gmail,123456,FALSE,错误格式的电邮+密码登录失败,請輸入正確的電子郵箱
TC_LOGIN_029,Py_Hopetrip_29,password,,,,123456,FALSE,空电邮+密码登录失败,請輸入正確的電子郵箱
TC_LOGIN_030,Py_Hopetrip_30,password,,,,,FALSE,空电邮+空密码登录失败,請輸入正確的電子郵箱
